Open,High,Low,Close,Volume,Stock,,Open,High,Low,Close,Volume,,Open,High,Low,Close,Volume,Stock
4.5,4.5,4.35,4.4,14702400,4.425,Max,33.529999,34.299999,33.080002,33.23,325058400,,0.090253839,0.086169887,0.087067048,0.087946852,0.045230026,4.39
4.42,4.45,4.33,4.36,10880500,4.39,Min,1.62,1.69,1.61,1.62,0,,0.087746788,0.084636615,0.086431522,0.08668143,0.033472447,4.22
4.34,4.37,4.07,4.1,54721600,4.22,,,,,,,,0.085239737,0.082183379,0.078169685,0.078456185,0.168343904,3.99
4.06,4.08,3.9,4.01,49634100,3.99,,,,,,,,0.076465058,0.073290402,0.072767715,0.075608984,0.15269287,4
4.01,4.07,3.93,3.94,20402400,4,,,,,,,,0.074898151,0.072983747,0.073721004,0.073394495,0.062765337,3.97
3.95,4,3.94,3.96,13844700,3.97,,,,,,,,0.073017863,0.070837167,0.074038767,0.074027207,0.042591424,4.015
3.95,4.09,3.94,4.03,21640500,4.015,,,,,,,,0.073017863,0.073597056,0.074038767,0.076241696,0.066574191,4.075
4.06,4.11,4.04,4.11,16034600,4.075,,,,,,,,0.076465058,0.074210365,0.077216397,0.07877254,0.049328367,4.165
4.12,4.25,4.08,4.19,25850200,4.165,,,,,,,,0.078345346,0.078503527,0.078487448,0.081303385,0.079524787,4.215
4.21,4.26,4.17,4.22,29412600,4.215,,,,,,,,0.081165779,0.078810181,0.081347315,0.082252452,0.090484048,4.285
4.23,4.35,4.22,4.34,20486500,4.285,,,,,,,,0.081792542,0.081570071,0.08293613,0.086048719,0.06302406,4.27
4.36,4.4,4.14,4.24,22521700,4.27,,,,,,,,0.0858665,0.083103343,0.080394026,0.082885163,0.069285088,4.26
4.23,4.31,4.21,4.26,21165500,4.26,,,,,,,,0.081792542,0.080343453,0.082618367,0.083517874,0.065112915,4.2
4.25,4.3,4.1,4.22,41685800,4.2,,,,,,,,0.082419304,0.080036799,0.079122974,0.082252452,0.128240956,4.245
4.21,4.29,4.2,4.23,18462200,4.245,,,,,,,,0.081165779,0.079730144,0.082300604,0.082568807,0.056796563,4.25
4.18,4.36,4.14,4.29,39245000,4.25,,,,,,,,0.080225635,0.081876725,0.080394026,0.084466941,0.120732152,4.345
4.3,4.4,4.29,4.37,22425600,4.345,,,,,,,,0.083986211,0.083103343,0.08516047,0.086997786,0.068989449,4.52
4.44,4.65,4.39,4.64,73046000,4.52,,,,,,,,0.088373551,0.090769703,0.0883381,0.095539386,0.224716543,4.605
4.63,4.8,4.41,4.53,156113700,4.605,,,,,,,,0.094327797,0.095369519,0.088973626,0.092059475,0.480263546,4.67
4.6,4.77,4.57,4.66,61848100,4.67,,,,,,,,0.093387653,0.094449555,0.094057833,0.096172097,0.190267657,4.59
4.66,4.68,4.5,4.57,51309800,4.59,,,,,,,,0.095267941,0.091689666,0.091833492,0.093324897,0.157847944,3.755
3.73,3.84,3.67,3.83,137577700,3.755,,,,,,,,0.066123472,0.065930696,0.065459167,0.069914584,0.423239947,3.81
3.86,3.87,3.75,3.78,34219100,3.81,,,,,,,,0.07019743,0.066850659,0.068001271,0.068332806,0.105270622,3.82
3.82,3.86,3.78,3.8,34004800,3.82,,,,,,,,0.068943905,0.066544005,0.06895456,0.068965517,0.104611356,3.79
3.82,3.83,3.75,3.76,31748200,3.79,,,,,,,,0.068943905,0.065624042,0.068001271,0.067700095,0.097669219,3.755
3.75,3.8,3.71,3.73,27967600,3.755,,,,,,,,0.066750235,0.064704079,0.066730219,0.066751028,0.086038693,3.74
3.73,3.79,3.69,3.76,31793700,3.74,,,,,,,,0.066123472,0.064397424,0.066094693,0.067700095,0.097809194,3.73
3.77,3.78,3.68,3.73,31443400,3.73,,,,,,,,0.067376998,0.06409077,0.06577693,0.066751028,0.096731541,3.785
3.74,3.84,3.73,3.79,36157400,3.785,,,,,,,,0.066436854,0.065930696,0.067365745,0.068649162,0.111233551,3.825
3.82,3.88,3.77,3.82,42981200,3.825,,,,,,,,0.068943905,0.067157314,0.068636797,0.069598228,0.132226086,3.885
3.8,3.99,3.78,3.91,112162900,3.885,,,,,,,,0.068317142,0.070530512,0.06895456,0.072445429,0.345054612,3.94
3.91,4.01,3.87,3.97,33710000,3.94,,,,,,,,0.071764337,0.071143821,0.071814426,0.074343562,0.103704442,3.975
3.97,4.02,3.93,4,21493200,3.975,,,,,,,,0.073644626,0.071450475,0.073721004,0.075292629,0.066121042,4.04
3.99,4.11,3.97,4.08,40330600,4.04,,,,,,,,0.074271388,0.074210365,0.074992056,0.077823474,0.124071859,4.085
4.06,4.14,4.03,4.12,16271200,4.085,,,,,,,,0.076465058,0.075130328,0.076898634,0.079088896,0.050056236,4.135
4.14,4.2,4.07,4.1,32712300,4.135,,,,,,,,0.078972109,0.076970255,0.078169685,0.078456185,0.100635147,4.1
4.1,4.15,4.05,4.12,27166900,4.1,,,,,,,,0.077718584,0.075436983,0.07753416,0.079088896,0.083575444,4.09
4.03,4.19,3.99,4.14,29560500,4.09,,,,,,,,0.075524914,0.0766636,0.075627582,0.079721607,0.090939044,4.11
4.12,4.14,4.08,4.08,27369900,4.11,,,,,,,,0.078345346,0.075130328,0.078487448,0.077823474,0.084199947,4.09
4.08,4.15,4.03,4.11,30396800,4.09,,,,,,,,0.077091821,0.075436983,0.076898634,0.07877254,0.093511812,4.125
4.1,4.17,4.08,4.08,26148100,4.125,,,,,,,,0.077718584,0.076050291,0.078487448,0.077823474,0.080441238,4.105
4.12,4.14,4.07,4.13,33349200,4.105,,,,,,,,0.078345346,0.075130328,0.078169685,0.079405252,0.102594488,4.18
4.14,4.22,4.14,4.21,45381300,4.18,,,,,,,,0.078972109,0.077583563,0.080394026,0.081936096,0.139609682,4.25
4.2,4.3,4.2,4.27,23222100,4.25,,,,,,,,0.080852397,0.080036799,0.082300604,0.08383423,0.071439778,4.27
4.25,4.32,4.22,4.28,11986600,4.27,,,,,,,,0.082419304,0.080650107,0.08293613,0.084150585,0.03687522,4.25
4.29,4.29,4.21,4.24,11939800,4.25,,,,,,,,0.08367283,0.079730144,0.082618367,0.082885163,0.036731246,4.245
4.22,4.28,4.21,4.25,8364700,4.245,,,,,,,,0.08147916,0.07942349,0.082618367,0.083201519,0.025732914,4.225
4.27,4.27,4.18,4.18,8998200,4.225,,,,,,,,0.083046067,0.079116835,0.081665078,0.080987029,0.027681795,4.175
4.17,4.22,4.13,4.19,9183900,4.175,,,,,,,,0.079912253,0.077583563,0.080076263,0.081303385,0.028253077,4.18
4.2,4.21,4.15,4.16,7304400,4.18,,,,,,,,0.080852397,0.077276909,0.080711789,0.080354318,0.022471039,4.13
4.14,4.19,4.07,4.14,10331400,4.13,,,,,,,,0.078972109,0.0766636,0.078169685,0.079721607,0.031783212,4.165
4.15,4.19,4.14,4.17,7347200,4.165,,,,,,,,0.07928549,0.0766636,0.080394026,0.080670674,0.022602708,4.2
4.16,4.25,4.15,4.16,12603300,4.2,,,,,,,,0.079598872,0.078503527,0.080711789,0.080354318,0.038772418,4.2
4.17,4.23,4.17,4.19,9600600,4.2,,,,,,,,0.079912253,0.077890218,0.081347315,0.081303385,0.029535,4.2
4.18,4.25,4.15,4.15,12791400,4.2,,,,,,,,0.080225635,0.078503527,0.080711789,0.080037963,0.039351083,4.17
4.17,4.19,4.15,4.15,6630200,4.17,,,,,,,,0.079912253,0.0766636,0.080711789,0.080037963,0.02039695,4.14
4.13,4.18,4.1,4.13,8396200,4.14,,,,,,,,0.078658728,0.076356946,0.079122974,0.079405252,0.02582982,4.12
4.15,4.16,4.08,4.08,8964800,4.12,,,,,,,,0.07928549,0.075743637,0.078487448,0.077823474,0.027579044,4.06
4.08,4.11,4.01,4.08,13276800,4.06,,,,,,,,0.077091821,0.074210365,0.076263108,0.077823474,0.040844353,4.05
4.03,4.08,4.02,4.08,8086800,4.05,,,,,,,,0.075524914,0.073290402,0.076580871,0.077823474,0.024877991,4.035
4.06,4.11,3.96,3.96,14123900,4.035,,,,,,,,0.076465058,0.074210365,0.074674293,0.074027207,0.043450346,3.96
3.98,4.02,3.9,3.91,18257000,3.96,,,,,,,,0.073958007,0.071450475,0.072767715,0.072445429,0.056165292,3.85
3.89,3.9,3.8,3.81,40156400,3.85,,,,,,,,0.071137574,0.067770623,0.069590086,0.069281873,0.123535955,3.84
3.82,3.88,3.8,3.82,24894600,3.84,,,,,,,,0.068943905,0.067157314,0.069590086,0.069598228,0.076585007,3.82
3.88,3.94,3.7,3.88,16141400,3.82,,,,,,,,0.070824193,0.06899724,0.066412456,0.071496362,0.049656923,3.875
3.93,3.94,3.81,3.81,23030000,3.875,,,,,,,,0.0723911,0.06899724,0.069907849,0.069281873,0.070848807,3.79
3.81,3.83,3.75,3.76,14201400,3.79,,,,,,,,0.068630523,0.065624042,0.068001271,0.067700095,0.043688765,3.74
3.76,3.79,3.69,3.69,16282500,3.74,,,,,,,,0.067063616,0.064397424,0.066094693,0.065485606,0.050090999,3.72
3.71,3.75,3.69,3.7,11792600,3.72,,,,,,,,0.065496709,0.063170807,0.066094693,0.065801961,0.036278404,3.66
3.7,3.72,3.6,3.63,17556500,3.66,,,,,,,,0.065183328,0.062250843,0.063234827,0.063587472,0.054010295,3.635
3.63,3.67,3.6,3.6,12976300,3.635,,,,,,,,0.062989658,0.060717571,0.063234827,0.062638406,0.039919904,3.6
3.56,3.66,3.54,3.55,26857600,3.6,,,,,,,,0.060795989,0.060410917,0.061328249,0.061056628,0.082623922,3.49
3.56,3.58,3.4,3.41,55952200,3.49,,,,,,,,0.060795989,0.057957682,0.056879568,0.056627649,0.172129685,3.36
3.39,3.42,3.3,3.35,33645900,3.36,,,,,,,,0.055468505,0.053051211,0.053701938,0.054729516,0.103507247,3.36
3.37,3.44,3.28,3.39,27904500,3.36,,,,,,,,0.054841742,0.05366452,0.053066412,0.055994938,0.085844574,3.415
3.43,3.46,3.37,3.4,16797000,3.415,,,,,,,,0.056722031,0.054277829,0.055926279,0.056311294,0.051673792,3.37
3.42,3.44,3.3,3.36,17864800,3.37,,,,,,,,0.056408649,0.05366452,0.053701938,0.055045872,0.05495874,3.33
3.35,3.38,3.28,3.28,17720600,3.33,,,,,,,,0.05421498,0.051824594,0.053066412,0.052515027,0.054515127,3.245
3.3,3.31,3.18,3.28,28000000,3.245,,,,,,,,0.052648073,0.049678013,0.049888783,0.052515027,0.086138368,3.07
3.03,3.2,2.94,2.95,69528900,3.07,,,,,,,,0.044186775,0.046304814,0.042262472,0.042075293,0.213896641,2.83
2.95,2.95,2.71,2.72,41062500,2.83,,,,,,,,0.041679724,0.038638454,0.034953924,0.034799114,0.126323454,2.79
2.78,2.85,2.73,2.74,38269400,2.79,,,,,,,,0.036352241,0.03557191,0.03558945,0.035431825,0.117730845,2.675
2.61,2.75,2.6,2.62,39964200,2.675,,,,,,,,0.031024757,0.032505366,0.031458532,0.031635558,0.122944677,2.625
2.62,2.71,2.54,2.61,36924600,2.625,,,,,,,,0.031338139,0.031278749,0.029551954,0.031319203,0.113593742,2.63
2.56,2.72,2.54,2.64,38795400,2.63,,,,,,,,0.02945785,0.031585403,0.029551954,0.03226827,0.119349015,2.76
2.67,2.86,2.66,2.72,75956600,2.76,,,,,,,,0.032905045,0.035878565,0.03336511,0.034799114,0.233670627,2.7
2.79,2.8,2.6,2.67,28711000,2.7,,,,,,,,0.036665622,0.034038638,0.031458532,0.033217336,0.088325667,2.73
2.7,2.78,2.68,2.77,24033800,2.73,,,,,,,,0.03384519,0.03342533,0.034000636,0.036380892,0.073936868,2.72
2.79,2.8,2.64,2.64,23034800,2.72,,,,,,,,0.036665622,0.034038638,0.032729584,0.03226827,0.070863574,2.68
2.68,2.71,2.65,2.69,23731000,2.68,,,,,,,,0.033218427,0.031278749,0.033047347,0.033850047,0.073005343,2.7
2.69,2.73,2.67,2.68,11945800,2.7,,,,,,,,0.033531808,0.031892058,0.033682873,0.033533692,0.036749704,2.68
2.68,2.71,2.65,2.66,13307500,2.68,,,,,,,,0.033218427,0.031278749,0.033047347,0.032900981,0.040938797,2.72
2.69,2.77,2.67,2.72,22878300,2.72,,,,,,,,0.033531808,0.033118675,0.033682873,0.034799114,0.070382122,2.77
2.75,2.81,2.73,2.77,15600900,2.77,,,,,,,,0.035412097,0.034345293,0.03558945,0.036380892,0.047994145,2.745
2.79,2.79,2.7,2.75,13026100,2.745,,,,,,,,0.036665622,0.033731984,0.034636161,0.035748181,0.040073107,2.79
2.79,2.83,2.75,2.8,14704800,2.79,,,,,,,,0.036665622,0.034958602,0.036224976,0.037329959,0.04523741,2.855
2.81,2.9,2.81,2.87,11733600,2.855,,,,,,,,0.037292385,0.037105182,0.038131554,0.039544448,0.036096898,2.83
2.9,2.91,2.75,2.83,12524300,2.83,,,,,,,,0.040112817,0.037411837,0.036224976,0.038279026,0.038529384,2.82
2.85,2.87,2.77,2.8,9635100,2.82,,,,,,,,0.03854591,0.036185219,0.036860502,0.037329959,0.029641135,2.775
2.78,2.8,2.75,2.76,8932900,2.775,,,,,,,,0.036352241,0.034038638,0.036224976,0.036064537,0.027480908,2.78
2.77,2.8,2.76,2.78,7293800,2.78,,,,,,,,0.036038859,0.034038638,0.036542739,0.036697248,0.02243843,2.78
2.78,2.81,2.75,2.76,12593100,2.78,,,,,,,,0.036352241,0.034345293,0.036224976,0.036064537,0.038741039,2.755
2.78,2.79,2.72,2.73,8113500,2.755,,,,,,,,0.036352241,0.033731984,0.035271687,0.03511547,0.02496013,2.7
2.73,2.75,2.65,2.71,15875400,2.7,,,,,,,,0.034785334,0.032505366,0.033047347,0.034482759,0.048838609,2.695
2.71,2.74,2.65,2.66,10915400,2.695,,,,,,,,0.034158571,0.032198712,0.033047347,0.032900981,0.033579812,2.655
2.68,2.7,2.61,2.61,12373000,2.655,,,,,,,,0.033218427,0.030972094,0.031776295,0.031319203,0.038063929,2.65
2.62,2.69,2.61,2.67,12593800,2.65,,,,,,,,0.031338139,0.03066544,0.031776295,0.033217336,0.038743192,2.68
2.69,2.73,2.63,2.65,14967800,2.68,,,,,,,,0.033531808,0.031892058,0.032411821,0.032584625,0.046046495,2.645
2.68,2.68,2.61,2.63,10323300,2.645,,,,,,,,0.033218427,0.030358786,0.031776295,0.031951914,0.031758293,2.655
2.6,2.72,2.59,2.69,15043900,2.655,,,,,,,,0.030711376,0.031585403,0.031140769,0.033850047,0.046280607,2.74
2.72,2.77,2.71,2.77,11311600,2.74,,,,,,,,0.034471952,0.033118675,0.034953924,0.036380892,0.03479867,2.825
2.8,2.85,2.8,2.83,12293900,2.825,,,,,,,,0.036979003,0.03557191,0.037813791,0.038279026,0.037820589,2.81
2.84,2.86,2.76,2.83,11073600,2.81,,,,,,,,0.038232529,0.035878565,0.036542739,0.038279026,0.034066494,2.82
2.81,2.84,2.8,2.84,10553500,2.82,,,,,,,,0.037292385,0.035265256,0.037813791,0.038595381,0.032466474,2.81
2.85,2.85,2.77,2.79,5665000,2.81,,,,,,,,0.03854591,0.03557191,0.036860502,0.037013603,0.017427638,2.715
2.77,2.79,2.64,2.67,16025100,2.715,,,,,,,,0.036038859,0.033731984,0.032729584,0.033217336,0.049299141,2.66
2.69,2.71,2.61,2.68,12438800,2.66,,,,,,,,0.033531808,0.031278749,0.031776295,0.033533692,0.038266355,2.755
2.71,2.82,2.69,2.74,18256500,2.755,,,,,,,,0.034158571,0.034651947,0.034318398,0.035431825,0.056163754,2.705
2.75,2.75,2.66,2.69,14513400,2.705,,,,,,,,0.035412097,0.032505366,0.03336511,0.033850047,0.044648592,2.68
2.69,2.7,2.66,2.66,9479300,2.68,,,,,,,,0.033531808,0.030972094,0.03336511,0.032900981,0.029161837,2.6
2.65,2.68,2.52,2.58,25402100,2.6,,,,,,,,0.032278283,0.030358786,0.028916428,0.030370136,0.078146265,2.54
2.55,2.59,2.49,2.59,22914800,2.54,,,,,,,,0.029144469,0.027598896,0.027963139,0.030686492,0.07049441,2.52
2.58,2.58,2.46,2.48,17690100,2.52,,,,,,,,0.030084613,0.027292242,0.027009851,0.02720658,0.054421298,2.5
2.51,2.54,2.46,2.49,10151600,2.5,,,,,,,,0.027890943,0.026065624,0.027009851,0.027522936,0.031230081,2.45
