Predicted,Expected,Error,,,,
26.5192168,26.9750005,1.689652251,,,,
26.51921366,26.7799995,0.97380822,,,MAPE,6.960084687
26.51921317,26.9899995,1.744299157,,,,
26.51921279,26.705,0.695701954,,,,
26.51921294,27.515,3.619069809,,,,
26.51921579,26.665,0.546724939,,,,
26.5192132,26.815,1.103064709,,,,
26.51921354,27.2600005,2.717486964,,,,
26.51921397,27.8200005,4.675724306,,,,
26.51921607,27.9299995,5.05114018,,,,
26.51921603,26.865,1.287116938,,,,
26.51921286,27.1500005,2.323343004,,,,
26.51921345,27.33,2.96665406,,,,
26.51921357,26.5650005,0.172358084,,,,
26.51921164,26.665,0.546740531,,,,
26.51920991,28.3649995,6.507278759,,,,
26.51921861,28.525,7.031661298,,,,
26.51921835,28.0799995,5.558337532,,,,
26.51921701,27.8800005,4.880858916,,,,
26.5192159,28.455001,6.802969696,,,,
26.51921868,28.75,7.759239377,,,,
26.51921889,29.5100005,10.13480703,,,,
26.51921938,30.91,14.2050489,,,,
26.51922039,32.084999,17.34698077,,,,
26.51922061,33.6900005,21.28459419,,,,
26.51922082,32.655001,18.78971058,,,,
26.51922072,32.245,17.7571074,,,,
26.51922055,31.7799995,16.55374144,,,,
26.51922048,30.4899995,13.02321771,,,,
26.51921997,29.8150005,11.05410187,,,,
