Open,High,Low,Close,Volume,Stock
4.5,4.5,4.35,4.4,14702400,4.425
4.42,4.45,4.33,4.36,10880500,4.39
4.34,4.37,4.07,4.1,54721600,4.22
4.06,4.08,3.9,4.01,49634100,3.99
4.01,4.07,3.93,3.94,20402400,4
3.95,4,3.94,3.96,13844700,3.97
3.95,4.09,3.94,4.03,21640500,4.015
4.06,4.11,4.04,4.11,16034600,4.075
4.12,4.25,4.08,4.19,25850200,4.165
4.21,4.26,4.17,4.22,29412600,4.215
4.23,4.35,4.22,4.34,20486500,4.285
4.36,4.4,4.14,4.24,22521700,4.27
4.23,4.31,4.21,4.26,21165500,4.26
4.25,4.3,4.1,4.22,41685800,4.2
4.21,4.29,4.2,4.23,18462200,4.245
4.18,4.36,4.14,4.29,39245000,4.25
4.3,4.4,4.29,4.37,22425600,4.345
4.44,4.65,4.39,4.64,73046000,4.52
4.63,4.8,4.41,4.53,156113700,4.605
4.6,4.77,4.57,4.66,61848100,4.67
4.66,4.68,4.5,4.57,51309800,4.59
3.73,3.84,3.67,3.83,137577700,3.755
3.86,3.87,3.75,3.78,34219100,3.81
3.82,3.86,3.78,3.8,34004800,3.82
3.82,3.83,3.75,3.76,31748200,3.79
3.75,3.8,3.71,3.73,27967600,3.755
3.73,3.79,3.69,3.76,31793700,3.74
3.77,3.78,3.68,3.73,31443400,3.73
3.74,3.84,3.73,3.79,36157400,3.785
3.82,3.88,3.77,3.82,42981200,3.825
3.8,3.99,3.78,3.91,112162900,3.885
3.91,4.01,3.87,3.97,33710000,3.94
3.97,4.02,3.93,4,21493200,3.975
3.99,4.11,3.97,4.08,40330600,4.04
4.06,4.14,4.03,4.12,16271200,4.085
4.14,4.2,4.07,4.1,32712300,4.135
4.1,4.15,4.05,4.12,27166900,4.1
4.03,4.19,3.99,4.14,29560500,4.09
4.12,4.14,4.08,4.08,27369900,4.11
4.08,4.15,4.03,4.11,30396800,4.09
4.1,4.17,4.08,4.08,26148100,4.125
4.12,4.14,4.07,4.13,33349200,4.105
4.14,4.22,4.14,4.21,45381300,4.18
4.2,4.3,4.2,4.27,23222100,4.25
4.25,4.32,4.22,4.28,11986600,4.27
4.29,4.29,4.21,4.24,11939800,4.25
4.22,4.28,4.21,4.25,8364700,4.245
4.27,4.27,4.18,4.18,8998200,4.225
4.17,4.22,4.13,4.19,9183900,4.175
4.2,4.21,4.15,4.16,7304400,4.18
4.14,4.19,4.07,4.14,10331400,4.13
4.15,4.19,4.14,4.17,7347200,4.165
4.16,4.25,4.15,4.16,12603300,4.2
4.17,4.23,4.17,4.19,9600600,4.2
4.18,4.25,4.15,4.15,12791400,4.2
4.17,4.19,4.15,4.15,6630200,4.17
4.13,4.18,4.1,4.13,8396200,4.14
4.15,4.16,4.08,4.08,8964800,4.12
4.08,4.11,4.01,4.08,13276800,4.06
4.03,4.08,4.02,4.08,8086800,4.05
4.06,4.11,3.96,3.96,14123900,4.035
3.98,4.02,3.9,3.91,18257000,3.96
3.89,3.9,3.8,3.81,40156400,3.85
3.82,3.88,3.8,3.82,24894600,3.84
3.88,3.94,3.7,3.88,16141400,3.82
3.93,3.94,3.81,3.81,23030000,3.875
3.81,3.83,3.75,3.76,14201400,3.79
3.76,3.79,3.69,3.69,16282500,3.74
3.71,3.75,3.69,3.7,11792600,3.72
3.7,3.72,3.6,3.63,17556500,3.66
3.63,3.67,3.6,3.6,12976300,3.635
3.56,3.66,3.54,3.55,26857600,3.6
3.56,3.58,3.4,3.41,55952200,3.49
3.39,3.42,3.3,3.35,33645900,3.36
3.37,3.44,3.28,3.39,27904500,3.36
3.43,3.46,3.37,3.4,16797000,3.415
3.42,3.44,3.3,3.36,17864800,3.37
3.35,3.38,3.28,3.28,17720600,3.33
3.3,3.31,3.18,3.28,28000000,3.245
3.03,3.2,2.94,2.95,69528900,3.07
2.95,2.95,2.71,2.72,41062500,2.83
2.78,2.85,2.73,2.74,38269400,2.79
2.61,2.75,2.6,2.62,39964200,2.675
2.62,2.71,2.54,2.61,36924600,2.625
2.56,2.72,2.54,2.64,38795400,2.63
2.67,2.86,2.66,2.72,75956600,2.76
2.79,2.8,2.6,2.67,28711000,2.7
2.7,2.78,2.68,2.77,24033800,2.73
2.79,2.8,2.64,2.64,23034800,2.72
2.68,2.71,2.65,2.69,23731000,2.68
2.69,2.73,2.67,2.68,11945800,2.7
2.68,2.71,2.65,2.66,13307500,2.68
2.69,2.77,2.67,2.72,22878300,2.72
2.75,2.81,2.73,2.77,15600900,2.77
2.79,2.79,2.7,2.75,13026100,2.745
2.79,2.83,2.75,2.8,14704800,2.79
2.81,2.9,2.81,2.87,11733600,2.855
2.9,2.91,2.75,2.83,12524300,2.83
2.85,2.87,2.77,2.8,9635100,2.82
2.78,2.8,2.75,2.76,8932900,2.775
2.77,2.8,2.76,2.78,7293800,2.78
2.78,2.81,2.75,2.76,12593100,2.78
2.78,2.79,2.72,2.73,8113500,2.755
2.73,2.75,2.65,2.71,15875400,2.7
2.71,2.74,2.65,2.66,10915400,2.695
2.68,2.7,2.61,2.61,12373000,2.655
2.62,2.69,2.61,2.67,12593800,2.65
2.69,2.73,2.63,2.65,14967800,2.68
2.68,2.68,2.61,2.63,10323300,2.645
2.6,2.72,2.59,2.69,15043900,2.655
2.72,2.77,2.71,2.77,11311600,2.74
2.8,2.85,2.8,2.83,12293900,2.825
2.84,2.86,2.76,2.83,11073600,2.81
2.81,2.84,2.8,2.84,10553500,2.82
2.85,2.85,2.77,2.79,5665000,2.81
2.77,2.79,2.64,2.67,16025100,2.715
2.69,2.71,2.61,2.68,12438800,2.66
2.71,2.82,2.69,2.74,18256500,2.755
2.75,2.75,2.66,2.69,14513400,2.705
2.69,2.7,2.66,2.66,9479300,2.68
2.65,2.68,2.52,2.58,25402100,2.6
2.55,2.59,2.49,2.59,22914800,2.54
2.58,2.58,2.46,2.48,17690100,2.52
2.51,2.54,2.46,2.49,10151600,2.5
2.46,2.55,2.35,2.52,21211600,2.45
2.52,2.6,2.46,2.47,19636400,2.53
2.44,2.53,2.42,2.5,17051600,2.475
2.5,2.57,2.46,2.55,12521300,2.515
2.58,2.59,2.54,2.55,12423900,2.565
2.53,2.57,2.51,2.57,14701500,2.54
2.55,2.68,2.52,2.66,15044900,2.6
2.69,2.72,2.66,2.67,8274400,2.69
2.63,2.7,2.63,2.65,4624000,2.665
2.65,2.69,2.65,2.65,4029600,2.67
2.64,2.66,2.63,2.66,8527000,2.645
2.64,2.7,2.63,2.63,7783700,2.665
2.64,2.7,2.64,2.67,11177900,2.67
2.67,2.67,2.67,2.67,0,2.67
2.67,2.7,2.64,2.66,8878200,2.67
2.65,2.66,2.55,2.63,13912500,2.605
2.63,2.65,2.54,2.58,12377600,2.595
2.59,2.65,2.56,2.61,11136600,2.605
2.63,2.64,2.58,2.63,8907600,2.61
2.62,2.64,2.55,2.63,9979600,2.595
2.64,2.68,2.6,2.66,17907400,2.64
2.6,2.66,2.58,2.63,9989900,2.62
2.62,2.65,2.49,2.52,17744000,2.57
2.52,2.53,2.39,2.39,30192400,2.46
2.39,2.43,2.19,2.24,56389300,2.31
2.18,2.45,2.14,2.45,46530800,2.295
2.42,2.5,2.37,2.47,36169600,2.435
2.48,2.5,2.43,2.45,11100700,2.465
2.44,2.64,2.44,2.61,36571300,2.54
2.58,2.84,2.56,2.7,51805800,2.7
2.71,2.75,2.6,2.63,24786200,2.675
2.63,2.69,2.51,2.61,17789200,2.6
2.56,2.6,2.51,2.57,12908200,2.555
2.69,2.75,2.65,2.67,25688700,2.7
2.7,2.8,2.68,2.76,22585300,2.74
2.78,2.92,2.76,2.85,34829300,2.84
2.88,3.37,2.87,3.31,73355600,3.12
3.2,3.21,3,3.03,38110700,3.105
3.03,3.07,2.93,3.04,24133800,3
3.07,3.1,3.01,3.04,13995100,3.055
3.03,3.1,3,3.07,11741100,3.05
3.08,3.15,3.05,3.12,12975000,3.1
3.13,3.18,3.11,3.15,9627600,3.145
3.16,3.17,3.08,3.11,8678100,3.125
3.11,3.14,3.06,3.08,7273900,3.1
3.06,3.08,3.01,3.06,6573600,3.045
3.03,3.13,3.02,3.06,10666700,3.075
3.05,3.1,3.03,3.06,6323500,3.065
3.06,3.12,3.02,3.11,10899400,3.07
3.08,3.14,3.06,3.1,6151300,3.1
3.1,3.13,3.06,3.08,8680900,3.095
3.07,3.12,3.07,3.11,7150200,3.095
3.13,3.23,3.11,3.21,15638100,3.17
3.2,3.23,3.13,3.14,8644000,3.18
3.14,3.14,3.01,3.05,12112800,3.075
3.1,3.1,2.98,2.98,11472300,3.04
