Predicted,Expected,Error,,,
192.1489725,206.169998,6.80071087,,MAPE,2.781100031
191.2711498,204.125,6.297048472,,,
191.0606452,203.544998,6.13346088,,,
189.5091146,199.1699985,4.850571871,,,
189.0460864,195.810005,3.454327381,,,
188.285786,186.165001,1.139196395,,,
185.5871049,187.5550005,1.049236548,,,
184.0772107,188.885002,2.545353644,,,
183.6342401,190.6549985,3.682441294,,,
184.9536394,188.8299945,2.052828047,,,
184.0975864,182.3150025,0.977749435,,,
182.1987473,186.3499985,2.227663679,,,
182.6681765,184.130005,0.793911072,,,
181.8281305,179.1749955,1.480750714,,,
180.448892,180.379997,0.038194368,,,
179.3882962,179.25,0.077152695,,,
179.3152628,177.675003,0.923179819,,,
178.5873905,177.949997,0.35818685,,,
178.1973496,176.490005,0.967388833,,,
177.8617388,174.095001,2.163610554,,,
178.4110179,177.175003,0.697623764,,,
178.869034,183.065002,2.292064528,,,
181.521898,183.8099975,1.244817744,,,
181.1180756,188.845001,4.091675921,,,
183.9671397,193.494995,4.924083567,,,
185.3867027,194.800003,4.832289623,,,
186.2905915,194.68,4.309332483,,,
185.3010763,195.1949995,5.068738048,,,
185.804559,191.9449995,3.199062494,,,
184.3506322,193.5650025,4.760349339,,,
