Predicted,Expected,Error,,,
181.9827776,192.415001,5.421730828,,MAPE,3.127129441
181.1282317,190.375,4.857133711,,,
180.7439115,189.635002,4.688528166,,,
180.0293809,188.0149995,4.247330623,,,
179.5176047,187.294998,4.152483199,,,
179.4360592,183.1349945,2.019786159,,,
178.0276344,180.7950055,1.530667881,,,
177.5172985,183.6500015,3.339342766,,,
178.2308586,186.8150025,4.594997051,,,
178.9713415,185.9300005,3.742623016,,,
178.4569227,182.7999955,2.37586044,,,
177.3909781,184.794998,4.006612697,,,
177.9526912,185.175003,3.900262805,,,
178.2157181,181.784996,1.963461239,,,
177.297211,182.2300035,2.706904704,,,
177.0589463,183.080002,3.28875664,,,
177.913674,182.955002,2.75550158,,,
177.7266358,182.1849975,2.44716183,,,
177.2794168,178.8499985,0.878155853,,,
176.4633931,168.029999,5.018981253,,,
176.1835374,164.5599975,7.063405489,,,
173.850898,166.675003,4.305321685,,,
172.3963178,168.4649965,2.33361312,,,
172.1920248,171.3549955,0.488476751,,,
173.8215609,175.830002,1.142263021,,,
175.0792294,178.3849945,1.853163204,,,
176.2625991,176.0750045,0.106542462,,,
175.7580711,176.32,0.318698326,,,
175.2799788,180.919998,3.117410583,,,
177.3292383,186.955002,5.148706153,,,
