Predicted,Expected,Error,,,,
1069.832475,1033.795014,3.485938759,,,MAPE,1.737575959
1069.13174,1023.899994,4.417594128,,,,
1048.608935,1033.084991,1.502678341,,,,
1051.207192,1037.544983,1.316782365,,,,
1049.992107,1026.924988,2.246232161,,,,
1044.535176,1023.339997,2.071176691,,,,
1042.349852,1031.629517,1.039165175,,,,
1045.710916,1017.982514,2.723858337,,,,
1042.859634,1032.705017,0.983302783,,,,
1049.577911,1054.390015,0.456387523,,,,
1055.844414,1053.847535,0.189484647,,,,
1055.102794,1070.902466,1.475360495,,,,
1067.118138,1093.039978,2.371536342,,,,
1072.725301,1096.119995,2.134318679,,,,
1073.097098,1104.929993,2.88098751,,,,
1077.411546,1081.76001,0.401980493,,,,
1069.237381,1082.765015,1.249360091,,,,
1065.766101,1080.184998,1.334854441,,,,
1064.837005,1065.309998,0.044399547,,,,
1061.600767,1080.825012,1.778664003,,,,
1064.278292,1076.639954,1.148170493,,,,
1063.854541,1071.244995,0.689893892,,,,
1061.2669,1073.309998,1.122052114,,,,
1061.573613,1078.167542,1.539086337,,,,
1063.066962,1064.294983,0.115383499,,,,
1063.012605,1063.019959,0.000691838,,,,
1058.646735,1082.375,2.192240643,,,,
1077.306292,1109.25,2.879757276,,,,
1085.55833,1131.94751,4.098174105,,,,
1091.176171,1139.463989,4.237766058,,,,
