Predicted,Expected,Error,,,
127.3077825,127.3349995,0.021374337,,,
127.0045755,125.7000005,1.037848045,,,
126.9362311,125.5600015,1.096073294,,,
126.5899935,124.6800005,1.531916067,,MAPE,1.560748489
126.3220451,125.875,0.355150007,,,
126.799782,124.295002,2.015189634,,,
126.29641,124.789997,1.207158478,,,
126.1795095,125.204998,0.778332754,,,
126.3600348,127.920002,1.21948655,,,
127.3613504,129.1900025,1.415474898,,,
127.4713878,126.674999,0.628686612,,,
126.7514626,127.0550005,0.23890274,,,
126.667083,127.380001,0.559678097,,,
126.7133761,125.5149995,0.954767661,,,
126.543074,126.6949995,0.119914329,,,
126.4814317,127.0250015,0.42792349,,,
126.8184846,124.715,1.686633186,,,
126.2284121,125.2700005,0.765076688,,,
126.1732874,123.9700015,1.777273392,,,
126.0437929,121.6900025,3.577771672,,,
125.7213444,121.9650005,3.079853961,,,
125.5261751,125.040001,0.388814845,,,
126.3829467,126.7849995,0.317113848,,,
126.8133536,130.2549975,2.642235586,,,
128.1798459,133.040001,3.653153269,,,
128.6721369,132.760002,3.079139077,,,
128.6336606,131.340004,2.060562907,,,
128.0056675,132.279999,3.231275755,,,
128.2447116,132.714996,3.368334032,,,
128.3541726,133.1299975,3.587339459,,,
