Predicted,Expected,Error,,,
161.4428213,177.169998,8.876884851,,,
160.3459035,174.534996,8.12965471,,,
160.1991294,174.334999,8.108451936,,MAPE,4.429082148
159.3384866,168.4649965,5.417451732,,,
159.1160728,167.794998,5.172338471,,,
158.456052,161.1199955,1.653391004,,,
156.7714245,160.975006,2.61132558,,,
156.2539313,159.2300035,1.86903982,,,
155.7358846,159.779999,2.531051685,,,
156.8625299,159.3250045,1.545566947,,,
157.3715398,152.760002,3.018812377,,,
153.9720586,154.169998,0.128390334,,,
153.7269382,153.154999,0.373438144,,,
153.1756014,147.300003,3.988865067,,,
152.7067513,147.1900025,3.748045838,,,
151.4650509,145.2149965,4.304000643,,,
151.137967,140.8800045,7.281347372,,,
150.4269138,139.6600035,7.709372792,,,
149.3728754,137.6200025,8.540090617,,,
148.4869749,135.0350035,9.96184033,,,
148.2201012,139.340004,6.37297039,,,
150.315235,143.0050045,5.111870376,,,
150.9951069,143.060005,5.546694855,,,
150.4046365,145.0650025,3.68085611,,,
150.8078318,149.4749985,0.89167643,,,
152.2065615,150.7600025,0.959511139,,,
152.7374406,147.419998,3.60700219,,,
151.6579783,147.6900025,2.686692224,,,
151.495326,144.1650005,5.084677621,,,
150.8320376,145.084999,3.961152862,,,
