Open,High,Low,Close,Volume,Stock,,Open,High,Low,Close,Volume
325.25,332.83,324.97,663.59,7380500,331.475,,0.094185144,0.104335523,0.093859339,0.237572868,0.29525831
331.27,333.87,329.08,666.45,5749400,328.82,,0.106476377,0.106437595,0.101938122,0.24151427,0.229935923
329.83,330.75,326.89,657.21,6590300,326.225,,0.103536282,0.100131379,0.097633369,0.228780508,0.263612335
328.34,328.77,323.68,648.24,5405900,315.875,,0.100494099,0.096129358,0.091323662,0.216418836,0.216179415
322.04,322.29,309.46,620.76,11688800,311.51,,0.087631181,0.083031834,0.063372253,0.178548296,0.467797357
313.7,315.72,307.3,621.43,8824000,311.46,,0.070603128,0.0697524,0.059126469,0.179471632,0.353067681
310.59,313.52,309.4,624.25,4817800,313.67,,0.064253338,0.06530571,0.063254315,0.18335791,0.192627153
314.43,315.26,312.08,627.92,3764400,310.835,,0.072093593,0.068822638,0.068522231,0.188415584,0.150440529
311.96,312.3,309.37,623.28,4631800,313.24,,0.067050512,0.062839818,0.063195345,0.18202114,0.185178214
314.81,314.81,311.67,626.86,3832800,312.86,,0.072869452,0.067913087,0.067716319,0.186954784,0.153179816
312.14,315.82,309.9,631.18,5544000,316.925,,0.067418024,0.069954522,0.064237135,0.192908231,0.221710052
319.3,319.3,314.55,637.82,12657800,292.08,,0.082036833,0.076988378,0.073377364,0.202058901,0.506603925
294.16,294.4,289.76,584.39,21231800,291.86,,0.030707665,0.026659929,0.024649133,0.128426333,0.849975971
291.91,293.23,290.49,583.92,6851300,290.33,,0.026113765,0.024295099,0.026084051,0.12777862,0.274064878
292.07,292.74,287.92,579.34,6134400,285.2,,0.026440443,0.023304699,0.021032354,0.121466863,0.245354425
287.68,288.27,282.13,567.93,10012700,283.695,,0.017477235,0.014269833,0.009651295,0.105742596,0.400672807
284.92,286.17,281.22,566.54,6476500,286.34,,0.011842052,0.010025265,0.007862562,0.103827019,0.259054866
284.32,289.08,283.6,578.39,7262000,287.275,,0.010617012,0.015907024,0.012540787,0.120157656,0.290512615
287.95,288.92,285.63,576.11,4678400,288.705,,0.018028503,0.015583628,0.016531037,0.117015559,0.187044453
290.41,290.91,286.5,578.52,4300700,290.075,,0.023051166,0.019605862,0.018241145,0.120336811,0.171918302
291.38,291.66,288.49,579.24,4658700,291.03,,0.025031647,0.021121779,0.02215277,0.121329052,0.186255507
291.34,292.11,289.95,583.51,4847400,295.175,,0.024949978,0.022031329,0.025022605,0.127213594,0.193812575
294.23,297.42,292.93,594.7,6360700,300.085,,0.030850586,0.032764022,0.030880214,0.142634676,0.254417301
296.39,304.27,295.9,607.42,7386700,302.155,,0.035260729,0.046609399,0.036718166,0.160164271,0.295506608
302.44,303.56,300.75,605.11,4199700,302.885,,0.047613214,0.04517433,0.046251523,0.15698083,0.167873448
303.18,304.53,301.24,608.18,3686400,304.73,,0.049124097,0.047134917,0.047214687,0.161211637,0.14731678
304.87,306.1,303.36,609.79,4546300,301.9,,0.052574625,0.050308236,0.051381845,0.163430398,0.181754105
302.81,302.93,300.87,604.25,4667700,304.82,,0.048368655,0.04390096,0.0464874,0.155795653,0.186615939
304.11,305.77,303.87,610.52,3646100,303.055,,0.051022908,0.049641233,0.052384322,0.164436421,0.145702843
304.63,304.86,301.25,608.09,3620900,302.735,,0.052084609,0.04780192,0.047234344,0.161087607,0.144693632
