Predicted,Expected,Error,,,
254.6925171,253.425003,0.500153517,,,
248.074679,251.1549985,1.22646156,,MAPE,4.322309182
246.6742371,247.4000015,0.293356676,,,
240.4947348,240.3099975,0.076874581,,,
237.0865177,239.0050045,0.802697324,,,
236.017487,228.4850005,3.2967094,,,
231.5937529,231.25,0.148649907,,,
230.1520555,228.845001,0.571152755,,,
229.2361882,228.75,0.212541287,,,
228.7196638,215.5800015,6.09502839,,,
227.5977916,200.625,13.44438211,,,
219.1780197,201.7199935,8.654583983,,,
216.2770734,197.8600005,9.308133458,,,
213.103694,192.845001,10.50516888,,,
217.6249245,194.364998,11.96713745,,,
207.2062393,191.425003,8.244083067,,,
199.9805261,188.714996,5.969599834,,,
199.6985,189.6399995,5.303997309,,,
196.2266802,187.010002,4.928441292,,,
195.9545814,181.834999,7.765052101,,,
194.9803328,186.7949985,4.381987945,,,
200.0495347,196.5650025,1.77271243,,,
208.547285,206.4000015,1.040350508,,,
221.6621337,207.169998,6.99528688,,,
218.111094,212.9749985,2.411595503,,,
218.4242041,217.199997,0.563631276,,,
223.6559885,216.1900025,3.453437231,,,
225.5298838,211.2049945,6.782457664,,,
215.8105212,213.524994,1.070379229,,,
216.4799332,220.635002,1.883231924,,,
