#,Open,High,Low,Close,Volume,Stock
0,325.25,332.83,324.97,663.59,"7,380,500",331.475
1,331.27,333.87,329.08,666.45,"5,749,400",328.82
2,329.83,330.75,326.89,657.21,"6,590,300",326.225
3,328.34,328.77,323.68,648.24,"5,405,900",315.875
4,322.04,322.29,309.46,620.76,"11,688,800",311.51
5,313.7,315.72,307.3,621.43,"8,824,000",311.46
6,310.59,313.52,309.4,624.25,"4,817,800",313.67
7,314.43,315.26,312.08,627.92,"3,764,400",310.835
8,311.96,312.3,309.37,623.28,"4,631,800",313.24
9,314.81,314.81,311.67,626.86,"3,832,800",312.86
10,312.14,315.82,309.9,631.18,"5,544,000",316.925
11,319.3,319.3,314.55,637.82,"12,657,800",292.08
12,294.16,294.4,289.76,584.39,"21,231,800",291.86
13,291.91,293.23,290.49,583.92,"6,851,300",290.33
14,292.07,292.74,287.92,579.34,"6,134,400",285.2
15,287.68,288.27,282.13,567.93,"10,012,700",283.695
16,284.92,286.17,281.22,566.54,"6,476,500",286.34
17,284.32,289.08,283.6,578.39,"7,262,000",287.275
18,287.95,288.92,285.63,576.11,"4,678,400",288.705
19,290.41,290.91,286.5,578.52,"4,300,700",290.075
20,291.38,291.66,288.49,579.24,"4,658,700",291.03
21,291.34,292.11,289.95,583.51,"4,847,400",295.175
22,294.23,297.42,292.93,594.7,"6,360,700",300.085
23,296.39,304.27,295.9,607.42,"7,386,700",302.155
24,302.44,303.56,300.75,605.11,"4,199,700",302.885
25,303.18,304.53,301.24,608.18,"3,686,400",304.73
26,304.87,306.1,303.36,609.79,"4,546,300",301.9
27,302.81,302.93,300.87,604.25,"4,667,700",304.82
28,304.11,305.77,303.87,610.52,"3,646,100",303.055
29,304.63,304.86,301.25,608.09,"3,620,900",302.735
30,305.32,305.32,300.15,603.9,"4,869,900",300.51
31,300.28,303.27,297.75,604.86,"5,080,700",301.38
32,301.36,302.68,300.08,602.98,"4,916,400",304.05
33,300.81,307.79,300.31,612.32,"4,980,100",304.73
34,304.84,307.24,302.22,606.28,"3,948,700",300.94
35,302.37,302.83,299.05,604.45,"4,125,300",303.15
36,302.54,304.68,301.62,608.23,"3,885,600",303.22
37,302.16,305.04,301.4,607.64,"3,641,300",305.72
38,303.86,308.73,302.71,616.7,"5,716,400",309.115
39,308.14,311.63,306.6,616.56,"6,297,200",309.8
40,309.97,311.68,307.92,620.7,"4,492,000",309.915
41,309.84,310.83,309,619.55,"3,158,300",307.315
42,309.06,310.08,304.55,612.57,"3,198,400",299.54
43,302.89,303.27,295.81,603.3,"6,372,500",303.125
44,303.39,304.45,301.8,605.14,"2,538,400",303.325
45,303.88,304.61,302.04,605.48,"2,700,900",301.845
46,302.84,304.81,298.88,598.61,"5,361,100",300.44
47,298.88,302.37,298.51,603.49,"3,350,400",304.705
48,303.24,307.77,301.64,616.09,"4,508,300",307.905
49,306.35,310.23,305.58,614.3,"5,895,700",308.43
50,307.15,310.59,306.27,619.43,"4,888,300",310.33
51,309.29,311.79,308.87,623.33,"6,123,800",313.455
52,310.4,317.45,309.46,632.24,"4,361,800",314.65
53,314.28,316.84,312.46,631.76,"3,092,400",318.78
54,316.12,322.49,315.07,638.23,"4,957,600",318.755
55,318.06,323.19,314.32,644.28,"4,838,400",321.145
56,322.09,323.04,319.25,640.83,"3,894,800",321.055
57,321.3,323.53,318.58,647.55,"3,651,900",323.365
58,322.31,325.53,321.2,645.25,"4,029,400",326.195
59,324.8,328.07,324.32,653.96,"5,096,700",324.01
60,325.5,327.07,320.95,646.63,"3,862,900",322.41
61,324.66,325.52,319.3,639.48,"4,638,700",319.385
62,319.19,322.54,316.23,645.15,"4,585,400",320.45
63,321.5,322.77,318.13,640.86,"4,105,000",316.34
64,318.03,318.31,314.37,633.41,"3,267,300",315.07
65,314.94,317.03,313.11,630.59,"4,654,700",313.98
66,313.07,316.48,311.48,629.11,"4,381,600",313.59
67,315.58,316.07,311.11,625.14,"4,982,500",315.64
68,315.8,316.81,314.47,634.22,"4,414,300",322.14
69,319.98,325.35,318.93,649.23,"11,556,300",316.945
70,322.57,323.28,310.61,622.89,"16,379,700",305.225
71,310.34,310.74,299.71,604.41,"11,426,700",305.03
72,303.14,307.69,302.37,607.9,"6,070,400",302.77
73,302.89,305.26,300.28,605.79,"5,358,900",302.68
74,301.71,306.98,298.38,597.66,"6,613,800",300.045
75,301,303.29,296.8,594.43,"6,139,700",296.055
76,295.34,298.11,294,595.96,"4,411,900",299.86
77,298,302.18,297.54,599.62,"3,872,600",302.42
78,300.87,304.53,300.31,608.05,"3,655,800",305.78
79,304.31,307.85,303.71,613.78,"4,200,600",305.69
80,306.36,307.22,304.16,613.3,"3,284,900",303.035
81,305.35,306.89,299.18,603.19,"4,832,600",301.815
82,300.77,304.66,298.97,602.78,"4,019,600",301.05
83,299.48,302.92,299.18,605.6,"3,235,000",304.805
84,303.67,306.27,303.34,609.35,"3,749,900",300.05
85,301.83,302.81,297.29,595.34,"4,431,300",300.265
86,296.39,304.14,296.39,605.89,"4,003,800",303.265
87,301.63,307.3,299.23,611.11,"5,374,600",303.41
88,302.28,307.04,299.78,607.48,"4,675,000",305.46
89,305.34,306.94,303.98,611.98,"3,083,200",303.695
90,304.04,306.13,301.26,603.57,"4,214,400",301.14
91,299.27,303.11,299.17,602.35,"3,662,400",303.55
92,301.54,306.35,300.75,609.44,"4,219,900",310.345
93,307.83,313.87,306.82,627.21,"9,706,300",313.595
94,315.73,317.73,309.46,621.34,"6,732,700",306.135
95,311.38,315.03,297.24,598.76,"11,991,700",302.79
96,299.13,306.7,298.88,612.43,"6,173,800",301.325
97,305.57,305.76,296.89,599.16,"6,126,600",300.555
98,299.7,303.66,297.45,607.79,"6,379,900",301.57
99,303.44,304.82,298.32,602.01,"3,796,600",296.39
100,299.38,299.74,293.04,589.91,"7,190,500",295.755
101,296.79,298.45,293.06,592.71,"5,230,900",292.76
102,292.98,294.84,290.68,586.62,"3,827,600",291.16
103,293.26,293.9,288.42,579.27,"5,958,800",284.185
104,284.83,285.26,283.11,569.42,"6,138,700",286.55
